movie_name,movie_Genre,movie_poster,movie_poster_url,movie_director,movie_amount,movie_cast_members_name,movie_release_date,movie_runtime
Deidra & Laney Rob a Train,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Deidra_%26_Laney_Rob_a_Train.jpg/220px-Deidra_%26_Laney_Rob_a_Train.jpg,https://en.wikipedia.org/wiki/File:Deidra_%26_Laney_Rob_a_Train.jpg,Sydney Freeland,N/A,"Brooke Markham as Claire, Laney's high school friend",17-Mar-17,"1 hour, 34 min."
Deidra & Laney Rob a Train,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Deidra_%26_Laney_Rob_a_Train.jpg/220px-Deidra_%26_Laney_Rob_a_Train.jpg,https://en.wikipedia.org/wiki/File:Deidra_%26_Laney_Rob_a_Train.jpg,Sydney Freeland,N/A,"Kinna McInroe as Gloria, the child social services worker",17-Mar-17,"1 hour, 34 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Melissa Leo as Madalyn Murray O'Hair, an atheist activist.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Josh Lucas as David Waters, American Atheists' former manager who masterminds their kidnapping.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Michael Chernus as Jon Garth Murray, Madalyn's loyal younger son.
Devin Taylor Freeman as teenage Jon Garth Murray",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Rory Cochrane as Gary Karr, the Murray O'Hairs' kidnapper and murderer.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Vincent Kartheiser as William J. ""Billy Boy"" Murray, Madalyn's elder son who converts to Christianity.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Sally Kirkland as Lena Christina, Madalyn's long-suffering mother.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Adam Scott as Jack Ferguson, the reporter who first looks into the kidnapping.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Juno Temple as Robin Murray O'Hair, Madalyn's devoted granddaughter and Bill's estranged daughter.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Alex Frost as Danny Fry, the Murray O'Hairs' kidnapper who also gets killed by Waters and Karr.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Brandon Mychal Smith as Roy Collier, Madalyn's right-hand man at American Atheists who first exposes the kidnapping.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Peter Fonda as Reverend Bob Harrington, the Christian pastor who did public debates with Madalyn for money.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Ryan Cutrona as John Mays, Madalyn's father with whom she had a strained relationship.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Anna Camp as Mrs. Lutz, the school teacher of young William Murray who enforces prayers in class.",24-Mar-17,"1 hour, 32 min."
The Most Hated Woman in America,Biopic,https://upload.wikimedia.org/wikipedia/en/1/17/The_Most_Hated_Woman_in_America_film_poster.png,https://en.wikipedia.org/wiki/File:The_Most_Hated_Woman_in_America_film_poster.png,Tommy O'Haver,N/A,"Andy Walken as Young William ""Billy Boy"" Murray.",24-Mar-17,"1 hour, 32 min."
The Discovery,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Discovery_film_poster.jpg/220px-The_Discovery_film_poster.jpg,https://en.wikipedia.org/wiki/File:The_Discovery_film_poster.jpg,Charlie McDowell,N/A,Rooney Mara as Isla,31-Mar-17,"1 hour, 42 min."
The Discovery,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Discovery_film_poster.jpg/220px-The_Discovery_film_poster.jpg,https://en.wikipedia.org/wiki/File:The_Discovery_film_poster.jpg,Charlie McDowell,N/A,Jason Segel as Will Harbor,31-Mar-17,"1 hour, 42 min."
